Index,Review,Cleaned_Review,Cleaned_Name,Severity,Urgency,Customer_Satisfaction,Review_Days,Response_Days,Predicted_Category,Probabilities,Mapped_Category,Hygiene,Food Quality,Atmosphere,Value for Money,Service Issue,Positive Review,Food Options,Review_Date
0,"Stop eating at this place, I have visited bangalores, nd punes AB but this Hyderabad Gachibowlis one was the worst . First of all no cleanliness, food items were stale nd sorry to say third class crowd over there. Got cockroach in my muffin, here is the proof..",stop eating place visited bangalores nd punes ab hyderabad gachibowlis one worst first cleanliness food items stale nd sorry say third class crowd got cockroach muffin proof,pramod kumar,High,Urgent,No Response,180,-1,"['Quality, taste, or freshness issues with food', 'Cleanliness or hygiene issues', 'Poor customer service or staff behavior']","[0.9965850710868835, 0.9946374893188477, 0.8445733785629272]","['Food Quality', 'Hygiene', 'Service Issue']",1,1,0,0,1,0,0,10-05-2024
1,"Food 2/5
Service 2/5
Ambience 2/5 …",food service ambience,abhinav deep,Medium,Non-Urgent,High Satisfaction,365,365,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.8227755427360535, 0.7571902871131897]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,07-11-2023
2,"Idiotic varieties for the price they have charged. 90% of the varieties are of boiler chicken. Grilled kebabs were precooked, hence lacking the soft texture and no taste. …",idiotic varieties price charged varieties boiler chicken grilled kebabs precooked hence lacking soft texture taste,vijay nammi,High,Urgent,No Response,30,-1,"['Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.9860756993293762, 0.98301100730896]","['Food Quality', 'Value for Money']",0,1,0,1,0,0,0,07-10-2024
3,"I am posting this live now, this is one of the worst places DONT VISIT, very pathetic service and very worst food. Ever after 1 hour of the request your requested food will not be served .You will not get service nor food. Very pathetic …",posting live one worst places dont visit pathetic service worst food ever hour request requested food served get service food pathetic,surya ajay,High,Urgent,High Satisfaction,365,365,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.992651641368866, 0.9484805464744568]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,07-11-2023
4,"We are pure vegetarians, I ordered veg biryani from swiggy, I got mutton bone in my biryani. What the hell is this.",pure vegetarians ordered veg biryani swiggy got mutton bone biryani hell,sai hithesh,Low,Non-Urgent,No Response,180,-1,"['Poor customer service or staff behavior', 'Concerns about pricing and value', 'Quality, taste, or freshness issues with food']","[0.9473494291305542, 0.8612152338027954, 0.8338794708251953]","['Service Issue', 'Value for Money', 'Food Quality']",0,1,0,1,1,0,0,10-05-2024
5,waste management they gave us time 3.30 PM @Gachibowli Branch when our family reached they are saying just now kitchen is closed they didnt informed Us . manager also not spokd properly disgusting guy dont no manners also .waste management …,waste management gave us time pm gachibowli branch family reached saying kitchen closed didnt informed us manager also spokd properly disgusting guy dont manners also waste management,armaan akhter,High,Urgent,No Response,7,-1,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Cleanliness or hygiene issues']","[0.9990384578704834, 0.9313818216323853, 0.8907698392868042]","['Service Issue', 'Food Options', 'Hygiene']",1,0,0,0,1,0,1,30-10-2024
6,"Absolute barbecue lost its jewel, it's one of the nice place to have get together in past. As we see all smiling faces and serve with taste and respect,no more you can expect taste but still respect is left out. It more now a commercial …",absolute barbecue lost jewel one nice place get together past see smiling faces serve taste respectno expect taste still respect left commercial,babu rajan,Low,Non-Urgent,High Satisfaction,730,730,"['Quality, taste, or freshness issues with food']",[0.9597570896148682],['Food Quality'],0,1,0,0,0,0,0,07-11-2022
7,"3rd grade hygiene! This place is nothing but disgusting! The plates had stains of food. ALL plates. The food was stale and smelling. When we informed the Manager, Vishal Patiala, of the same he was extremely rude and didn’t even accept that …",rd grade hygiene place nothing disgusting plates stains food plates food stale smelling informed manager vishal patiala extremely rude didnt even accept,vrushali o,High,Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Cleanliness or hygiene issues', 'Quality, taste, or freshness issues with food']","[0.9968563318252563, 0.9909464120864868, 0.8566791415214539]","['Service Issue', 'Hygiene', 'Food Quality']",1,1,0,0,1,0,0,07-11-2022
8,"The food was not good at all. The plates, spoons and bowls were not cleaned properly, the stains & the oil are clearly visible. Worst buffet experience ever. The other AB's branches are good but this branch is pathetic. Never visiting this place again.",food good plates spoons bowls cleaned properly stains oil clearly visible worst buffet experience ever abs branches good branch pathetic never visiting place,keshav akkineni,Medium,Non-Urgent,No Response,90,-1,"['Quality, taste, or freshness issues with food', 'Cleanliness or hygiene issues', 'Poor customer service or staff behavior']","[0.9964184165000916, 0.9942864179611206, 0.7785166501998901]","['Food Quality', 'Hygiene', 'Service Issue']",1,1,0,0,1,0,0,08-08-2024
9,"Very very worst experience, we went for team lunch nearly 60 people., not eve a single person got satisfied and we decided not to go next time and tell to friends not to Go to Absolute Barbecues Gachibowli for the lifetime. They provided …",worst experience went team lunch nearly people eve single person got satisfied decided go next time tell friends go absolute barbecues gachibowli lifetime provided,pramod madooru,Medium,Non-Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.9853595495223999, 0.9388797283172607, 0.8108897805213928]","['Service Issue', 'Food Quality', 'Value for Money']",0,1,0,1,1,0,0,07-11-2022
10,We didn’t have a good time in Barbeque the last time we visited for birthday lunch. They have served very few starters and we had to look for self service stations for other options. They I have requested multiple times for grilled items they were making excuses and asked us to not mind and still requested for a positive feedback.,didnt good time barbeque last time visited birthday lunch served starters look self service stations options requested multiple times grilled items making excuses asked us mind still requested positive feedback,venkata ramana reddy,Low,Non-Urgent,High Satisfaction,730,730,"['Limited food options or menu variety', 'Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9976150989532471, 0.9911202192306519, 0.8714263439178467]","['Food Options', 'Service Issue', 'Food Quality']",0,1,0,0,1,0,1,07-11-2022
11,"Poor service. Visited today and found worst service. They didn't even serve the starters. There was no one to cater . Fo vegetarians, it's a waste of time. Please don't waste your time and money.",poor service visited today found worst service didnt even serve starters one cater fo vegetarians waste time please dont waste time money,stuti goyal,High,Urgent,No Response,60,-1,"['Poor customer service or staff behavior', 'Concerns about pricing and value', 'Limited food options or menu variety']","[0.9918203353881836, 0.8356714844703674, 0.8030822277069092]","['Service Issue', 'Value for Money', 'Food Options']",0,0,0,1,1,0,1,07-09-2024
12,AB's quality of food is decreased completely. Also they are not serving the food. We asked multiple times but all types of starters were not served.,abs quality food decreased completely also serving food asked multiple times types starters served,m gopi krishna,High,Urgent,No Response,60,-1,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety', 'Poor customer service or staff behavior']","[0.9887581467628479, 0.981992244720459, 0.9783142805099487]","['Food Quality', 'Food Options', 'Service Issue']",0,1,0,0,1,0,1,07-09-2024
13,"Safety measures were not followed. Seems like they have given up on customer's health.
No temperature check or mask check. …",safety measures followed seems like given customers health temperature check mask check,prasanth demn,Medium,Non-Urgent,No Response,1095,-1,['Poor customer service or staff behavior'],[0.8984698057174683],['Service Issue'],0,0,0,0,1,0,0,07-11-2021
14,Pathetic service. No coordination at all between online and offline booking. Had to wait for 45 minutes from my actual booking time. Kids were starving. If u don’t have slots don’t allot fake slots,pathetic service coordination online offline booking wait minutes actual booking time kids starving u dont slots dont allot fake slots,harish kantimahanti,High,Urgent,No Response,21,-1,['Poor customer service or staff behavior'],[0.9978081583976746],['Service Issue'],0,0,0,0,1,0,0,16-10-2024
15,Recently ordered a non-veg thali from Absolute Barbecue and was utterly disappointed with the experience. …,recently ordered nonveg thali absolute barbecue utterly disappointed experience,sanjeev singh,High,Urgent,No Response,120,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Limited food options or menu variety', 'Concerns about pricing and value']","[0.981073796749115, 0.9553187489509583, 0.8885254263877869, 0.8790531754493713]","['Service Issue', 'Food Quality', 'Food Options', 'Value for Money']",0,1,0,1,1,0,1,09-07-2024
16,"We recived wrost food from this place
I ordered 498 rupees non-veg platers totally fully black  boiled food  so at the time of 11pm what we do what we eat  don’t order  this restatement  wrost food like freeze item completely",recived wrost food place ordered rupees nonveg platers totally fully black boiled food time pm eat dont order restatement wrost food like freeze item completely,sdr electric private limited,Medium,Non-Urgent,No Response,60,-1,"['Quality, taste, or freshness issues with food', 'Concerns about pricing and value', 'Poor customer service or staff behavior', 'Limited food options or menu variety']","[0.9680662751197815, 0.9670630097389221, 0.958142876625061, 0.8407588601112366]","['Food Quality', 'Value for Money', 'Service Issue', 'Food Options']",0,1,0,1,1,0,1,07-09-2024
17,"Worst food, worst portions, over crowded...naturally the waiters are over worked and provides bad service. The bald waiter Deepak and his friends were totally ignoring our table. Laugable portions, oily food, unclean oily dishes and …",worst food worst portions crowdednaturally waiters worked provides bad service bald waiter deepak friends totally ignoring table laugable portions oily food unclean oily dishes,adrita ganguly,High,Urgent,No Response,1095,-1,['Poor customer service or staff behavior'],[0.9947031736373901],['Service Issue'],0,0,0,0,1,0,0,07-11-2021
18,"Based the reputation and farm of AB'S..Customers will come and enjoys the weekends..but We received spoiled food I.e zafrani chicken biriyani, same informed to staff and manager..he changed in my plate but manager behaved rude and he making …",based reputation farm abscustomers come enjoys weekendsbut received spoiled food ie zafrani chicken biriyani informed staff managerhe changed plate manager behaved rude making,shanthi priya,High,Urgent,No Response,120,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9963194131851196, 0.9953668713569641]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,09-07-2024
19,"I felt that by paying 800-1000 per person, we can only eat normal fruits and food items ...food taste is very bad .. deserts are not tasty/not properly cooked ..",felt paying per person eat normal fruits food items food taste bad deserts tastynot properly cooked,shruthi laya,High,Urgent,No Response,60,-1,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.997208297252655, 0.9928663969039917, 0.9667317271232605]","['Food Options', 'Food Quality', 'Value for Money']",0,1,0,1,0,0,1,07-09-2024
20,The food taste was absolutely worst. Not even a single starter found good. Nothing new and exciting in the menu. The main course doesn't have more veg options. Desserts were really not fresh and brownie was too dry to eat. The service was …,food taste absolutely worst even single starter found good nothing new exciting menu main course doesnt veg options desserts really fresh brownie dry eat service,nirosha eaturi,Medium,Non-Urgent,No Response,210,-1,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety', 'Poor customer service or staff behavior']","[0.9974827170372009, 0.9962133169174194, 0.9315134882926941]","['Food Quality', 'Food Options', 'Service Issue']",0,1,0,0,1,0,1,10-04-2024
21,"Pathetic.... We have booked lunch at 11:45am and went to ABs at Gachibowli at 12:00.
The manager there said the booking got cancelled due to 15 minutes late. When we …",pathetic booked lunch went abs gachibowli manager said booking got cancelled due minutes late,srikanth ch v r,High,Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.9961147904396057],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
22,Poor service with poor food.No proper service and disappointed with the staffs behaviour.No proper attention and food was raw.Looting people in the name of quality food.given plastic glasses when asked and small bowl of sides.served mojitos without any ice and when asked for tissues they gave on serving plate.,poor service poor foodno proper service disappointed staffs behaviourno proper attention food rawlooting people name quality foodgiven plastic glasses asked small bowl sidesserved mojitos without ice asked tissues gave serving plate,sai kiran reddy,High,Urgent,High Satisfaction,730,730,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9974231719970703, 0.9920465350151062]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,07-11-2022
23,"Food : 2/5
Service :0/5
Ambience : 2/5 …",food service ambience,shanti swaroop,Medium,Non-Urgent,No Response,1460,-1,"['Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns', 'Quality, taste, or freshness issues with food']","[0.9671341180801392, 0.8156200051307678, 0.7874377965927124]","['Service Issue', 'Atmosphere', 'Food Quality']",0,1,1,0,1,0,0,07-11-2020
24,"Manager vishal behavior is very rude, demanded extra money after dinner.. Created a lot non sense in front of guest, management is worst and we have everything to prove their worst behavior",manager vishal behavior rude demanded extra money dinner created lot non sense front guest management worst everything prove worst behavior,srikanth cwa,High,Urgent,No Response,90,-1,['Poor customer service or staff behavior'],[0.9922716617584229],['Service Issue'],0,0,0,0,1,0,0,08-08-2024
25,"Good place with different varieties, a bit crowded during Friday, Saturday and Sundays. …",good place different varieties bit crowded friday saturday sundays,arif mohd,Low,Non-Urgent,No Response,120,-1,['Positive review'],[0.9803183078765869],['Positive Review'],0,0,0,0,0,1,0,09-07-2024
26,Just coming out of this place. Been here many a times but first time thought of nvr visiting this place again. I visited at 7:30 along with my husband n 2 kids. Few starters were not served to us..n had to wait for everything.. waited …,coming place many times first time thought nvr visiting place visited along husband n kids starters served usn wait everything waited,priya alluri,Low,Non-Urgent,No Response,1460,-1,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Quality, taste, or freshness issues with food']","[0.9691596031188965, 0.9131346344947815, 0.7598296999931335]","['Service Issue', 'Food Options', 'Food Quality']",0,1,0,0,1,0,1,07-11-2020
27,Worst barbeque I've ever eaten. Unhinged place with a very bad ambiance. Not recommended.,worst barbeque ive ever eaten unhinged place bad ambiance recommended,manish sharma,High,Urgent,No Response,60,-1,"['Ambiance, noise levels, or atmosphere concerns', 'Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.9645606875419617, 0.9442349672317505, 0.9419609308242798]","['Atmosphere', 'Food Quality', 'Value for Money']",0,1,1,1,0,0,0,07-09-2024
28,This feedback is for ab's owner and senior concerned person because of whom this branch is running in gacchibowli..there is not much more fault of waiters ..so I went to ab's barbeque on 1st April for my daughter's bday celebration veg …,feedback abs owner senior concerned person branch running gacchibowlithere much fault waiters went abs barbeque st april daughters bday celebration veg,manjusha singh,Low,Non-Urgent,No Response,180,-1,['Poor customer service or staff behavior'],[0.9838592410087585],['Service Issue'],0,0,0,0,1,0,0,10-05-2024
29,"Worst Experience, No proper service.
Food was not worth for the amount paid.
Meat was not properly cooked. …",worst experience proper service food worth amount paid meat properly cooked,mahind s,High,Urgent,No Response,730,-1,"['Poor customer service or staff behavior', 'Concerns about pricing and value', 'Quality, taste, or freshness issues with food']","[0.9913422465324402, 0.9893259406089783, 0.9849093556404114]","['Service Issue', 'Value for Money', 'Food Quality']",0,1,0,1,1,0,0,07-11-2022
30,"We did not have any food
We were wandering around to see what dishes that they had.
When we came to the dessert section we saw a baby nymph crawling around the …",food wandering around see dishes came dessert section saw baby nymph crawling around,karthik vittala,Medium,Non-Urgent,No Response,180,-1,['Limited food options or menu variety'],[0.9735370874404907],['Food Options'],0,0,0,0,0,0,1,10-05-2024
